cell,arm,seed,benchmark,language,n_samples,pass_at_1,maj_at_4,maj_at_8,se,ci_95_lo,ci_95_hi,ci_95_str
A2_123_MGSM,A2,123.0,mgsm,zh,250,0.656,,,0.030044234055805117,0.597113301250622,0.714886698749378,"0.656 [0.597, 0.715]"
A2_123_MGSM,A2,123.0,mgsm,ja,250,0.352,,,0.030205694827300365,0.2927968381384913,0.4112031618615087,"0.352 [0.293, 0.411]"
A2_123_MGSM,A2,123.0,mgsm,th,250,0.224,,,0.02636846601529941,0.17231780661001317,0.27568219338998684,"0.224 [0.172, 0.276]"
A2_123_MGSM,A2,123.0,mgsm,sw,250,0.012,,,0.00688650854933035,0.0,0.025497556756687488,"0.012 [0.000, 0.025]"
A2_123_MGSM,A2,123.0,mgsm,bn,250,0.192,,,0.024910720583716565,0.14317498765591552,0.2408250123440845,"0.192 [0.143, 0.241]"
A2_7_MGSM,A2,7.0,mgsm,en,250,0.812,,,0.02471080735224974,0.7635668175895906,0.8604331824104096,"0.812 [0.764, 0.860]"
A2_7_MGSM,A2,7.0,mgsm,es,250,0.652,,,0.030126134833396732,0.5929527757265425,0.7110472242734576,"0.652 [0.593, 0.711]"
A2_7_MGSM,A2,7.0,mgsm,fr,250,0.6,,,0.030983866769659335,0.5392716211314676,0.6607283788685323,"0.600 [0.539, 0.661]"
A2_7_MGSM,A2,7.0,mgsm,de,250,0.552,,,0.03145129568078237,0.4903554604656666,0.6136445395343335,"0.552 [0.490, 0.614]"
A2_7_MGSM,A2,7.0,mgsm,ru,250,0.6,,,0.030983866769659335,0.5392716211314676,0.6607283788685323,"0.600 [0.539, 0.661]"
A2_7_MGSM,A2,7.0,mgsm,zh,250,0.704,,,0.028871023535718302,0.6474127938699921,0.7605872061300079,"0.704 [0.647, 0.761]"
A2_7_MGSM,A2,7.0,mgsm,ja,250,0.376,,,0.030634882079094088,0.3159556311249756,0.4360443688750244,"0.376 [0.316, 0.436]"
A2_7_MGSM,A2,7.0,mgsm,th,250,0.224,,,0.02636846601529941,0.17231780661001317,0.27568219338998684,"0.224 [0.172, 0.276]"
A2_7_MGSM,A2,7.0,mgsm,sw,250,0.032,,,0.011131217363792696,0.010182813966966315,0.05381718603303369,"0.032 [0.010, 0.054]"
A2_7_MGSM,A2,7.0,mgsm,bn,250,0.184,,,0.024506652158138614,0.1359669617700483,0.2320330382299517,"0.184 [0.136, 0.232]"
A3_123_MGSM,A3,123.0,mgsm,en,250,0.82,,,0.024298148077579906,0.7723756297679434,0.8676243702320565,"0.820 [0.772, 0.868]"
A3_123_MGSM,A3,123.0,mgsm,es,250,0.636,,,0.030430511004582227,0.5763561984310188,0.6956438015689812,"0.636 [0.576, 0.696]"
A3_123_MGSM,A3,123.0,mgsm,fr,250,0.608,,,0.030876269204682096,0.5474825123588231,0.6685174876411769,"0.608 [0.547, 0.669]"
A3_123_MGSM,A3,123.0,mgsm,de,250,0.572,,,0.031293194148248916,0.510665339469432,0.6333346605305679,"0.572 [0.511, 0.633]"
A3_123_MGSM,A3,123.0,mgsm,ru,250,0.58,,,0.031215380824202676,0.5188178535845627,0.6411821464154372,"0.580 [0.519, 0.641]"
A3_123_MGSM,A3,123.0,mgsm,zh,250,0.688,,,0.029302286600195557,0.6305675182636167,0.7454324817363832,"0.688 [0.631, 0.745]"
A3_123_MGSM,A3,123.0,mgsm,ja,250,0.356,,,0.030282932486798565,0.2966454523258748,0.41535454767412516,"0.356 [0.297, 0.415]"
A3_123_MGSM,A3,123.0,mgsm,th,250,0.244,,,0.02716350492848815,0.1907595303401632,0.29724046965983675,"0.244 [0.191, 0.297]"
A3_123_MGSM,A3,123.0,mgsm,sw,250,0.036,,,0.011782020200288235,0.012907240407435058,0.059092759592564936,"0.036 [0.013, 0.059]"
A3_123_MGSM,A3,123.0,mgsm,bn,250,0.176,,,0.024085182166635154,0.12879304295339508,0.2232069570466049,"0.176 [0.129, 0.223]"
A3_7_MGSM,A3,7.0,mgsm,en,250,0.8,,,0.025298221281347035,0.7504154862885598,0.8495845137114403,"0.800 [0.750, 0.850]"
A3_7_MGSM,A3,7.0,mgsm,es,250,0.644,,,0.030282932486798565,0.5846454523258748,0.7033545476741252,"0.644 [0.585, 0.703]"
A3_7_MGSM,A3,7.0,mgsm,fr,250,0.596,,,0.031034432490380744,0.5351725123188538,0.6568274876811462,"0.596 [0.535, 0.657]"
A3_7_MGSM,A3,7.0,mgsm,de,250,0.548,,,0.031476721557366805,0.4863056257475611,0.609694374252439,"0.548 [0.486, 0.610]"
A3_7_MGSM,A3,7.0,mgsm,ru,250,0.548,,,0.031476721557366805,0.4863056257475611,0.609694374252439,"0.548 [0.486, 0.610]"
A3_7_MGSM,A3,7.0,mgsm,zh,250,0.692,,,0.02919835611811049,0.6347712220085034,0.7492287779914965,"0.692 [0.635, 0.749]"
A3_7_MGSM,A3,7.0,mgsm,ja,250,0.348,,,0.030126134833396732,0.2889527757265424,0.4070472242734576,"0.348 [0.289, 0.407]"
A3_7_MGSM,A3,7.0,mgsm,th,250,0.236,,,0.026855464993181557,0.18336328861336415,0.2886367113866358,"0.236 [0.183, 0.289]"
A3_7_MGSM,A3,7.0,mgsm,sw,250,0.024,,,0.009679669415842671,0.005027847944948365,0.042972152055051636,"0.024 [0.005, 0.043]"
A3_7_MGSM,A3,7.0,mgsm,bn,250,0.204,,,0.02548599615475134,0.15404744753668737,0.2539525524633126,"0.204 [0.154, 0.254]"
A4_42_MGSM,A4,42.0,mgsm,en,250,0.824,,,0.024085182166635157,0.776793042953395,0.8712069570466049,"0.824 [0.777, 0.871]"
A4_42_MGSM,A4,42.0,mgsm,es,250,0.648,,,0.030205694827300365,0.5887968381384913,0.7072031618615088,"0.648 [0.589, 0.707]"
A4_42_MGSM,A4,42.0,mgsm,fr,250,0.644,,,0.030282932486798565,0.5846454523258748,0.7033545476741252,"0.644 [0.585, 0.703]"
A4_42_MGSM,A4,42.0,mgsm,de,250,0.556,,,0.03142381262673261,0.49440932725160414,0.617590672748396,"0.556 [0.494, 0.618]"
A4_42_MGSM,A4,42.0,mgsm,ru,250,0.588,,,0.03112915032569954,0.5269868653616289,0.6490131346383711,"0.588 [0.527, 0.649]"
A4_42_MGSM,A4,42.0,mgsm,zh,250,0.688,,,0.029302286600195557,0.6305675182636167,0.7454324817363832,"0.688 [0.631, 0.745]"
A4_42_MGSM,A4,42.0,mgsm,ja,250,0.348,,,0.030126134833396732,0.2889527757265424,0.4070472242734576,"0.348 [0.289, 0.407]"
A4_42_MGSM,A4,42.0,mgsm,th,250,0.236,,,0.026855464993181557,0.18336328861336415,0.2886367113866358,"0.236 [0.183, 0.289]"
A4_42_MGSM,A4,42.0,mgsm,sw,250,0.032,,,0.011131217363792696,0.010182813966966315,0.05381718603303369,"0.032 [0.010, 0.054]"
A4_42_MGSM,A4,42.0,mgsm,bn,250,0.184,,,0.024506652158138614,0.1359669617700483,0.2320330382299517,"0.184 [0.136, 0.232]"
