path,sha256,size_bytes,modified
results/eval/a2_vi_7_mgsm/a2_vi_7_mgsm_mgsm_th.json,9fcdcf69596125e3b617f4d332499271b8dec219f5672dabd187d9c1cd02c09c,3991816,2026-05-10T17:53:26+00:00
results/eval/a2_vi_7_mgsm/a2_vi_7_mgsm_mgsm_zh.json,ca98f24d52bb0ec7e3dfcec5efabdc742144554430dc0f5a04e5d401d7af3eaf,1549037,2026-05-10T17:47:31+00:00
results/eval/a2_vi_7_step50/a2_vi_7_step50_aime2024.json,69a175f89f41a951145c067bf21446551c04679b7a637e4ae681a38fd1c3a8ab,643579,2026-05-09T12:57:41+00:00
results/eval/a2_vi_7_step50/a2_vi_7_step50_amc23.json,99f337799821ecd33538237fd9d3152ef58a9ce6dfcf911387914fbafdd518e5,581654,2026-05-09T12:39:34+00:00
results/eval/a2_vi_7_step50/a2_vi_7_step50_math500.json,1592ad657840e5b522c81b02a19b8abab24726ab41946094e405a06ca25c78e2,4851459,2026-05-09T12:45:06+00:00
results/eval/a3_enlang_123_mgsm/a3_enlang_123_mgsm_mgsm_bn.json,7ac73b6381ab6a3591cd0c42be3aff233e36a033f369e7287e57e78c417195bf,4577898,2026-05-10T18:31:25+00:00
results/eval/a3_enlang_123_mgsm/a3_enlang_123_mgsm_mgsm_de.json,4e2a07e5b0d9860c9c17e2bdebe8072e6f5598c830ca27bc82c9b9837507ac04,2113704,2026-05-10T18:12:31+00:00
results/eval/a3_enlang_123_mgsm/a3_enlang_123_mgsm_mgsm_en.json,174d6618acb5d7043cf143f57270747c63adefa37f1644c7ceb4af8bc0789b0f,1188203,2026-05-10T18:06:25+00:00
results/eval/a3_enlang_123_mgsm/a3_enlang_123_mgsm_mgsm_es.json,ba856312dd30e0d131c01683b9fb9cc84837a83f8dfe8761ca87a1574c41cacb,1904216,2026-05-10T18:08:21+00:00
results/eval/a3_enlang_123_mgsm/a3_enlang_123_mgsm_mgsm_fr.json,68306ec0ffcf31d4b3522895a20c3429bc95b812d34170f4d27da0af93224067,2064133,2026-05-10T18:10:25+00:00
results/eval/a3_enlang_123_mgsm/a3_enlang_123_mgsm_mgsm_ja.json,91048b7d93b7ef553e092d29fd3884e3d466a892677b458d29381e23549db2d3,2624495,2026-05-10T18:18:26+00:00
results/eval/a3_enlang_123_mgsm/a3_enlang_123_mgsm_mgsm_ru.json,ecc2dba875db4ebd473c98f56493011ed3c6e6c8d730122b28af7b6d58e763aa,1979606,2026-05-10T18:14:25+00:00
results/eval/a3_enlang_123_mgsm/a3_enlang_123_mgsm_mgsm_sw.json,9d4b7a30342cd4adb851107f7f3c228091b13b7d5e542bedf336782cbd9ec355,5151671,2026-05-10T18:26:57+00:00
results/eval/a3_enlang_123_mgsm/a3_enlang_123_mgsm_mgsm_th.json,acf4fbc3d3078277ea9c15f6d25c846c69767fecc884644b37c00834112479d0,4074319,2026-05-10T18:22:07+00:00
results/eval/a3_enlang_123_mgsm/a3_enlang_123_mgsm_mgsm_zh.json,baa09df38e701d60970692972c16ee48ab7b4b28c1f8a3300f000117148bffd1,1592632,2026-05-10T18:15:59+00:00
results/eval/a3_enlang_123_step50/a3_enlang_123_step50_aime2024.json,79c902abe4c1ab488a5eb4b7c52d4819e6dbd550cda0070654ccbc552b425105,678208,2026-05-09T21:59:48+00:00
results/eval/a3_enlang_123_step50/a3_enlang_123_step50_amc23.json,bd9d3162631e81b11e3d38282df7bfa236a50c5a7ff7aa80900a7e5c8d995a21,601718,2026-05-09T21:41:56+00:00
results/eval/a3_enlang_123_step50/a3_enlang_123_step50_math500.json,7e418d73e1fe6acc0e8ee877958f23a597b569c3312919ed3193dcfc0b804462,4706911,2026-05-09T21:47:17+00:00
results/eval/a3_enlang_42_step50/a3_enlang_42_step50_aime2024.json,a80c3f73e91dac8c7ccf0f1c6fa63ef399565b611eb1258ce5eb24c29caf8641,647845,2026-05-09T04:20:37.927173+00:00
results/eval/a3_enlang_42_step50/a3_enlang_42_step50_amc23.json,fd0a1cd91427da438db373668cf221387075ddc77e92a50922e18d8f32bca4e9,575079,2026-05-09T04:20:37.932630+00:00
results/eval/a3_enlang_42_step50/a3_enlang_42_step50_math500.json,fb13f8bf97c29b5e92ab89ce26b5038daa379dffe974eda30ddbdab3f3e08e76,4961878,2026-05-09T04:20:37.931595+00:00
results/eval/a3_enlang_7_mgsm/a3_enlang_7_mgsm_mgsm_bn.json,9787f3d8ca2e18dfd3c63265e51c79393cc3049988104073eacc478bd8f8a2b8,4563464,2026-05-10T18:58:44+00:00
results/eval/a3_enlang_7_mgsm/a3_enlang_7_mgsm_mgsm_de.json,26ec2959e9a82446f74b4f66baf4ea3351534c283bb41101b5d5de1cb08b6594,2107740,2026-05-10T18:40:02+00:00
results/eval/a3_enlang_7_mgsm/a3_enlang_7_mgsm_mgsm_en.json,c7b0b3427c339cd46ed62f97e4b3f6c331d14ed1bf27990d06714173762a6ecf,1290475,2026-05-10T18:33:52+00:00
results/eval/a3_enlang_7_mgsm/a3_enlang_7_mgsm_mgsm_es.json,9fdbd75fad6f15886f406053dd588a2d490be12fa42b2b1b2e2d81e964fba7c2,1859593,2026-05-10T18:35:46+00:00
results/eval/a3_enlang_7_mgsm/a3_enlang_7_mgsm_mgsm_fr.json,5e17e365eaf48f371f919ec2d6a303373d607b84b8ed4298ab2fb62ca596570b,2283974,2026-05-10T18:37:59+00:00
results/eval/a3_enlang_7_mgsm/a3_enlang_7_mgsm_mgsm_ja.json,1d62b6131a1131e0c6aba2955bbdec72328a9a88b207fc035eb1f2a931040c3d,2287993,2026-05-10T18:45:59+00:00
results/eval/a3_enlang_7_mgsm/a3_enlang_7_mgsm_mgsm_ru.json,efdc38ea6424d202d0464ad567b8f14b0858a818b2853ec0b34585d5c451fdf2,2318121,2026-05-10T18:42:15+00:00
results/eval/a3_enlang_7_mgsm/a3_enlang_7_mgsm_mgsm_sw.json,1c02a5c277f90cc7633e828d52ad5ec849fe8eb5208c0550e28478c9e9dc31a5,5381803,2026-05-10T18:54:19+00:00
results/eval/a3_enlang_7_mgsm/a3_enlang_7_mgsm_mgsm_th.json,0845c8c2874fd8f779cf25f5a79e6331621ea8dda578ebcd446df0f1e90080a1,3630626,2026-05-10T18:49:12+00:00
results/eval/a3_enlang_7_mgsm/a3_enlang_7_mgsm_mgsm_zh.json,b4ba23ef99481b1ed7620af48eec97e50426ac46bf2d0e378fa3934d487d3cb6,1543296,2026-05-10T18:43:48+00:00
results/eval/a3_enlang_7_step50/a3_enlang_7_step50_aime2024.json,aa2c639fac96b21da78d3e0c99877c3f6dd2e94927101db549a825df13c03925,700913,2026-05-10T06:58:18+00:00
results/eval/a3_enlang_7_step50/a3_enlang_7_step50_amc23.json,4d3833f9c6e7ea4a9681a70b0e16936859b653f529d154387967d3e57d5a910a,567260,2026-05-10T06:40:09+00:00
results/eval/a3_enlang_7_step50/a3_enlang_7_step50_math500.json,0d9cdb894af6e3517545c0c20e3f9ce016ad62da02fa0f757e7c97261278dc29,4928283,2026-05-10T06:45:37+00:00
results/eval/a4_const_bias_42_mgsm/a4_const_bias_42_mgsm_mgsm_bn.json,da294001800fa209541fc6a147cff6d60519f15b9be9ba882b8bf7869f22c94d,4597908,2026-05-10T19:25:58+00:00
results/eval/a4_const_bias_42_mgsm/a4_const_bias_42_mgsm_mgsm_de.json,f85cb28e2f3252ba9e6fdcf49a683d3f5f9434fb292d839cca5d4a24fbd46536,2139395,2026-05-10T19:07:11+00:00
results/eval/a4_const_bias_42_mgsm/a4_const_bias_42_mgsm_mgsm_en.json,8aa9fdfe58b8f77cff70a39e4944955dae4a63d65ba68026f38c21b0646ceeef,1250631,2026-05-10T19:01:11+00:00
results/eval/a4_const_bias_42_mgsm/a4_const_bias_42_mgsm_mgsm_es.json,2efa64509124d43fd83f154494df48ed3abc39f7dc3ffe477454f265e2e0d102,2023006,2026-05-10T19:03:11+00:00
results/eval/a4_const_bias_42_mgsm/a4_const_bias_42_mgsm_mgsm_fr.json,f6b5cff2ba4ebafddf423a8cf9cc2e87bb2034ee036d73b5fc9e8db7be51f0d3,1891740,2026-05-10T19:05:07+00:00
results/eval/a4_const_bias_42_mgsm/a4_const_bias_42_mgsm_mgsm_ja.json,80aac761a79c057770117f10ad5d377b01d6a74f15acaa349f5ea837773ff262,2565866,2026-05-10T19:13:14+00:00
results/eval/a4_const_bias_42_mgsm/a4_const_bias_42_mgsm_mgsm_ru.json,7b11a0ede740e08f1ac1be8011b677faede9d363498ea542f036714d175f0cb2,2036891,2026-05-10T19:09:14+00:00
results/eval/a4_const_bias_42_mgsm/a4_const_bias_42_mgsm_mgsm_sw.json,e312d10a56770122ea2a06e65b50b112646f54c45dde4b0d77a7ec03beff3c7b,5203878,2026-05-10T19:21:32+00:00
results/eval/a4_const_bias_42_mgsm/a4_const_bias_42_mgsm_mgsm_th.json,44068174c5d3eb985cfae33eb1d9640f00427863e54e24ca8eba96515e9eadea,3773485,2026-05-10T19:16:42+00:00
results/eval/a4_const_bias_42_mgsm/a4_const_bias_42_mgsm_mgsm_zh.json,8040de2e03def39e5890e98d0774da3539e68442263289ad50a2f4f6a0026086,1598538,2026-05-10T19:10:51+00:00
results/eval/a4_const_bias_42_step50/a4_const_bias_42_step50_aime2024.json,0732e3fa688bbe8a0c522b0fb32ab036f803e68b35dcaf2936a96d7eac756d28,639253,2026-05-10T15:58:45+00:00
results/eval/a4_const_bias_42_step50/a4_const_bias_42_step50_amc23.json,1324ec31bc8d193d78767491362acc7e74650d86be2fc485bac7c4501c23b720,573173,2026-05-10T15:39:47+00:00
results/eval/a4_const_bias_42_step50/a4_const_bias_42_step50_math500.json,8c144f0914f77a829b30339fb7c55eff83f45d263c050b5d6ee74fe4665a52c1,4846879,2026-05-10T15:45:45+00:00
results/eval/base_deepseek_r1_distill_15b/base_deepseek_r1_distill_15b_aime2024.json,33ab660abbabbe59211d20b1921242dcd35e1f859546ff8cea2779e3295e5142,333464,2026-05-09T04:20:37.936988+00:00
results/eval/base_deepseek_r1_distill_15b/base_deepseek_r1_distill_15b_amc23.json,bb9c1c0a1380855ae2288c97a362b47875643f61ed9cb60c4f70fdec6d1f4559,349978,2026-05-09T04:20:37.937931+00:00
results/eval/base_deepseek_r1_distill_15b/base_deepseek_r1_distill_15b_math500.json,c8ecdede88cd0bf891b7e6a8839f1bbec2ced239deecf2270063b4aa7b99510a,3047778,2026-05-09T04:20:37.940483+00:00
results/eval/base_distill15b_mgsm/base_distill15b_mgsm_mgsm_bn.json,c0b09455a15363bab7282349b62c64c35d89ad537ca2c599baebb8e239dfcd34,4724593,2026-05-11T01:39:13+00:00
results/eval/base_distill15b_mgsm/base_distill15b_mgsm_mgsm_de.json,67fb8b1fb8c109ed0953a543b18ab1fa689b7532d8d8baadb181762c62921dd4,2132949,2026-05-11T01:20:50+00:00
results/eval/base_distill15b_mgsm/base_distill15b_mgsm_mgsm_en.json,ff2ed22db18726c4efcf20f3a7376c7f2fe955d9b6ccc5f20103b75c70af0686,1201088,2026-05-11T01:14:59+00:00
results/eval/base_distill15b_mgsm/base_distill15b_mgsm_mgsm_es.json,2e3bbee6ed2cddc4477b523f5729694645e7ba4d5e3a8b6da4c0a47dcf979d3e,1942568,2026-05-11T01:16:56+00:00
results/eval/base_distill15b_mgsm/base_distill15b_mgsm_mgsm_fr.json,2f3a59911dad500ddc9363d614035de469d7ead3a00d5663a29edb5e2294e1b2,1861713,2026-05-11T01:18:45+00:00
results/eval/base_distill15b_mgsm/base_distill15b_mgsm_mgsm_ja.json,025d9e87f3c5d2f45521411f79c2480f0fd6a489c9707980eb8bd2b959424363,2858060,2026-05-11T01:26:51+00:00
